Step Number,Energy per particle,Pressure
0, -0.059036709163341264, 0.008063851030292796
10000, -0.06548183829510952, 0.007721192533463657
20000, -0.06685250545160232, 0.007679498936938093
30000, -0.058096093825212226, 0.007950750985846593
40000, -0.0721311051530146, 0.007883810419100207
50000, -0.058085286041586665, 0.007830127512846612
60000, -0.05878036817482399, 0.007512818644264923
70000, -0.0550873314461376, 0.007824651118928118
80000, -0.06147788389249482, 0.007523939574819792
90000, -0.05384564839460024, 0.008158539164686578
