Step Number,Energy per particle,Pressure
0, 5001938013417.977, 18006977228957.48
100, 5001931995433.044, 18006955563712.26
200, 4990548517097.894, 17965975024111.066
300, 4990530812640.713, 17965911287362.65
400, 4990529569879.867, 17965906813248.19
500, 4990529138637.286, 17965905260613.086
600, 4990528820513.051, 17965904115259.137
700, 4990528643259.535, 17965903477038.363
800, 4990528623394.28, 17965903405483.24
900, 4990528607360.81, 17965903347728.914
